Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
08/21/2020,"19,035","792,319","31,342","76,062","41,110","2,769","1,387,463"
08/22/2020,"11,456","708,443","13,705","49,095","27,784",871,"882,522"
08/23/2020,"8,297","641,684","9,698","37,891","22,496",633,"671,560"
08/24/2020,"17,643","710,872","34,021","75,145","35,904","2,756","1,307,345"
08/25/2020,"18,682","715,798","34,993","73,331","35,689","2,845","1,346,490"
08/26/2020,"20,659","748,927","35,975","76,583","36,621","3,012","1,407,639"
08/27/2020,"19,271","739,049","33,969","73,060","35,551","2,856","1,358,272"
08/28/2020,"18,845","787,675","31,956","76,114","41,222","2,716","1,388,583"
08/29/2020,"9,814","555,413","14,035","37,641","22,234",798,"773,667"
08/30/2020,"9,752","706,101","16,027","45,147","26,520",825,"748,061"
08/31/2020,"18,185","711,594","787,291","78,122","37,727","3,184","1,397,264"
09/01/2020,"18,929","704,251","947,758","76,483","36,035","3,217","1,469,274"
09/02/2020,"19,990","703,330","972,213","77,585","36,159","3,192","1,487,969"
09/03/2020,"19,992","758,827","1,022,623","82,554","39,920","3,327","1,529,185"
09/04/2020,"20,223","817,722","1,030,811","88,345","47,152","3,148","1,568,385"
09/05/2020,"12,118","694,277","715,922","50,550","34,621",21,"1,013,725"
09/06/2020,"10,160","655,687","559,273","44,727","28,565",191,"819,409"
09/07/2020,"9,261","611,390","615,802","80,050","27,326","1,210","870,964"
09/08/2020,"19,806","726,886","1,039,401","90,603","42,963","3,496","1,555,816"
09/09/2020,"21,801","719,499","1,072,887","86,063","41,954","3,586","1,610,076"
09/10/2020,"20,181","697,793","997,030","82,142","39,296","3,403","1,543,662"
09/11/2020,"20,809","781,923","1,070,920","88,582","47,781","3,442","1,690,334"
09/12/2020,"12,349","693,696","752,875","44,546","32,400",29,"1,083,698"
09/13/2020,"9,315","611,591","557,231","36,686","24,009",4,"796,740"
09/14/2020,"19,888","697,572","1,065,601","89,498","41,286","3,515","1,604,381"
09/15/2020,"20,763","711,338","1,091,806","87,025","41,288","3,696","1,678,078"
09/16/2020,"22,070","711,372","1,097,389","87,034","41,417","3,496","1,686,909"
09/17/2020,"21,005","740,052","1,094,592","86,854","42,339","3,617","1,692,368"
09/18/2020,"20,702","781,132","1,083,295","90,657","48,213","3,367","1,725,443"
09/19/2020,"12,246","697,698","752,437","46,777","34,608","1,001","1,136,947"
09/20/2020,"9,269","615,409","558,863","38,973","26,328",760,"827,605"
09/21/2020,"19,488","686,709","1,058,256","89,706","41,901","3,497","1,624,139"
09/22/2020,"21,103","704,257","1,095,678","87,376","41,389","3,821","1,698,504"
09/23/2020,"22,501","727,921","1,119,904","88,998","42,506","3,710","1,735,333"
09/24/2020,"21,554","747,851","1,107,707","89,129","42,969","3,816","1,722,364"
09/25/2020,"21,233","796,850","1,110,956","92,506","49,819","3,708","1,761,591"
09/26/2020,"12,128","718,420","755,197","47,169","35,771",32,"1,120,143"
09/27/2020,"9,491","636,532","576,684","39,994","28,480",5,"846,179"
09/28/2020,"17,678","658,998","985,185","89,664","43,237","3,371","1,489,240"
09/29/2020,"20,517","688,012","1,057,135","88,444","40,515","3,632","1,661,264"
09/30/2020,"21,424","717,050","1,101,663","89,223","41,967","3,704","1,740,820"
10/01/2020,"22,309","759,870","1,159,859","86,082","42,390","4,003","1,809,958"
10/02/2020,"21,626","776,683","1,115,793","87,291","48,883","3,589","1,790,612"
10/03/2020,"12,759","705,741","777,674","45,018","36,907",33,"1,168,040"
10/04/2020,"10,010","617,011","570,608","34,976","27,667",761,"852,830"
10/05/2020,"19,971","681,284","1,102,675","88,694","42,257","3,587","1,678,792"
10/06/2020,"21,475","698,860","1,137,217","87,748","43,803","3,866","1,758,454"
10/07/2020,"23,027","710,155","1,123,231","87,119","43,534","3,791","1,770,617"
10/08/2020,"21,964","738,395","1,126,770","87,959","44,802","3,913","1,798,005"
10/09/2020,"21,274","782,600","1,117,172","78,663","52,686","3,700","1,808,079"
10/10/2020,"12,627","716,866","771,088","44,528","41,409","1,430","1,170,227"
10/11/2020,"9,470","603,801","564,051","34,593","28,784","1,049","848,469"
10/12/2020,"15,722","598,916","767,564","76,776","39,838","2,237","1,284,655"
10/13/2020,"20,909","667,518","1,063,680","76,552","42,205","3,670","1,715,183"
10/14/2020,"23,169","719,962","1,162,256","89,173","45,148","3,956","1,838,682"
10/15/2020,"22,834","757,151","1,152,434","90,288","46,249","4,069","1,853,753"
10/16/2020,"20,776","715,224","974,110","83,798","47,291","3,366","1,671,320"
10/17/2020,"11,831","691,236","778,070","43,768","37,764","1,588","1,209,473"
10/18/2020,"9,998","655,748","583,350","34,682","30,690","1,074","896,812"
10/19/2020,"20,812","683,334","1,105,134","89,186","44,368","3,570","1,719,153"
10/20/2020,"21,936","688,694","1,119,283","86,591","42,741","3,859","1,780,231"
10/21/2020,"22,959","704,874","1,140,385","86,210","44,102","3,848","1,812,949"
10/22/2020,"22,391","738,372","1,140,210","88,686","45,770","3,927","1,825,208"
10/23/2020,"21,766","769,176","1,123,540","89,931","51,765","3,680","1,842,588"
10/24/2020,"12,916","699,927","775,122","43,618","38,673",0,"1,185,612"
10/25/2020,"10,074","632,680","572,347","33,678","28,321",0,"885,001"
10/26/2020,"20,817","663,499","1,061,566","86,745","43,557","3,429","1,690,651"
10/27/2020,"21,870","688,233","1,143,906","87,401","43,340","3,642","1,815,242"
10/28/2020,"23,258","700,135","1,119,450","86,652","43,289","3,676","1,819,352"
10/29/2020,"20,925","677,257","987,440","81,794","41,157","3,539","1,705,072"
10/30/2020,"21,243","718,742","1,030,639","84,254","47,967","3,270","1,768,018"
10/31/2020,"12,816","643,982","747,636","41,538","34,077",20,"1,174,059"
11/01/2020,"10,180","573,521","510,820","29,495","22,602",3,"786,675"
11/02/2020,"21,127","671,888","1,072,262","87,198","40,609","3,535","1,747,908"
11/03/2020,"20,416","625,256","1,027,710","82,140","39,749","3,184","1,602,912"
11/04/2020,"22,174","656,967","1,089,354","81,551","38,818","3,448","1,690,489"
11/05/2020,"22,937","714,654","1,130,774","86,987","41,550","3,793","1,793,796"
11/06/2020,"22,659","749,668","1,120,729","89,499","48,138","3,546","1,837,314"
11/07/2020,"13,409","687,679","752,851","46,368","35,870",35,"1,246,321"
11/08/2020,"10,474","633,243","587,220","38,485","27,961",846,"927,670"
11/09/2020,"21,444","675,604","1,111,203","91,681","42,627","3,561","1,752,614"
11/10/2020,"23,138","699,076","1,151,911","91,532","43,083","3,848","1,836,902"
11/11/2020,"20,263","622,409","969,123","83,306","40,073","3,050","1,614,812"
11/12/2020,"22,059","680,988","1,054,132","86,189","40,381","3,546","1,776,666"
11/13/2020,"22,054","716,046","1,061,680","86,252","45,127","3,332","1,816,693"
11/14/2020,"12,928","635,637","755,951","41,422","31,397",14,"1,215,477"
11/15/2020,"9,763","514,867","528,421","30,948","20,946",697,"820,858"
